original,inverted
0.7166955614243932,0.7166955614243931
0.3752094852253113,0.3752094852253114
0.5402332140399694,0.5402332140399695
0.7454813742029608,0.7454813742029609
0.7898748197328478,0.7898748197328476
0.18731536973492025,0.18731536973492036
0.08531335886196978,0.08531335886196967
0.3856016224563513,0.3856016224563512
0.07336263681557997,0.07336263681557975
0.17493764339726547,0.17493764339726559
0.04077526671548426,0.04077526671548437
0.477981489968168,0.4779814899681678
0.7744629588477608,0.774462958847761
0.4840566951652113,0.4840566951652112
0.4035967584209509,0.4035967584209508
0.2006831507668777,0.20068315076687782
0.3395808005907146,0.3395808005907144
0.8996455411381995,0.8996455411381996
0.9692158258838445,0.9692158258838446
0.5476275905160236,0.5476275905160235
0.3343327252339574,0.3343327252339572
0.1549200027918377,0.1549200027918376
0.9920871958082035,0.9920871958082036
0.6920487323372145,0.6920487323372144
0.6995493038689181,0.6995493038689182
0.19196456931853756,0.19196456931853767
0.6938560758514757,0.6938560758514756
0.20534403460450512,0.20534403460450523
0.09149162724168469,0.0914916272416848
0.9612802804357511,0.9612802804357508
0.18712903271140846,0.18712903271140835
0.6521108643699223,0.652110864369922
0.128143634807793,0.12814363480779312
0.6125437926088171,0.6125437926088169
0.6911096992653805,0.6911096992653802
0.12235225053384846,0.12235225053384835
0.10581564986461489,0.10581564986461478
0.7140732548563916,0.7140732548563913
0.525961766393915,0.5259617663939151
0.6172820231608035,0.6172820231608034
0.01091277804142965,0.01091277804142976
0.14347025598676033,0.14347025598676044
0.04641924591012414,0.04641924591012381
1.3823754000275024e-05,1.3823754000164001e-05
0.4275587800729418,0.4275587800729417
0.0856426664892298,0.08564266648922958
0.17460776937659184,0.17460776937659173
0.871080482385752,0.8710804823857519
0.8005143353821761,0.8005143353821758
0.7631136612732023,0.7631136612732021
0.5217396802296229,0.5217396802296228
0.8607588415573274,0.8607588415573273
0.820903743572747,0.8209037435727466
0.09630194060541164,0.09630194060541175
0.5585877398801605,0.5585877398801604
0.8568840710014415,0.8568840710014416
0.1655174539619969,0.1655174539619968
0.7828592477870787,0.7828592477870786
0.5619579922119714,0.5619579922119713
0.7179753899060495,0.7179753899060493
